老磊,拌(疙),0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑
2022-01-01,"4,411",677,472,504,647,664,593,563,186,105
2022-01-02,"3,825",519,463,480,580,594,497,458,156,78
2022-01-03,"3,124",488,388,388,475,492,362,347,123,61
2022-01-04,"3,019",415,356,421,474,458,393,339,98,65
2022-01-05,"4,441",522,554,578,754,756,560,439,169,109
2022-01-06,"4,118",555,505,612,629,685,506,407,130,89
2022-01-07,"3,706",442,453,571,609,604,480,351,111,85
2022-01-08,"3,502",408,408,568,554,524,493,366,132,49
2022-01-09,"3,365",423,454,527,525,522,415,323,110,66
2022-01-10,"3,003",396,404,478,456,474,370,262,93,70
2022-01-11,"3,087",424,460,499,482,511,330,256,83,42
2022-01-12,"4,380",452,553,851,763,759,496,294,126,86
2022-01-13,"4,158",476,562,758,707,699,476,291,101,88
2022-01-14,"4,534",454,665,"1,070",767,698,394,291,102,93
2022-01-15,"4,412",508,633,951,741,627,454,289,113,96
2022-01-16,"4,183",557,606,817,636,635,467,260,108,97
2022-01-17,"3,852",582,582,643,574,600,438,224,85,124
2022-01-18,"4,064",573,656,748,625,611,455,243,95,58
2022-01-19,"5,795",752,936,"1,112",925,984,583,307,105,91
2022-01-20,"6,598",735,"1,106","1,433",990,"1,034",670,345,149,136
2022-01-21,"6,762",703,"1,170","1,531","1,095","1,023",652,343,150,95
2022-01-22,"6,987",764,"1,246","1,556","1,080","1,047",699,361,125,109
2022-01-23,"7,620",908,"1,365","1,588","1,130","1,131",749,432,135,182
2022-01-24,"7,505",954,"1,325","1,459","1,109","1,209",805,392,147,105
2022-01-25,"8,568","1,167","1,572","1,708","1,333","1,357",821,383,135,92
2022-01-26,"12,998","1,516","2,421","2,732","2,042","2,093","1,199",607,211,177
2022-01-27,"14,506","1,652","2,808","3,283","2,080","2,227","1,333",650,241,232
2022-01-28,"16,079","1,677","2,934","3,856","2,325","2,488","1,511",787,280,221
2022-01-29,"17,499","1,915","3,229","4,019","2,568","2,656","1,732",844,300,236
2022-01-30,"17,513","1,930","3,233","3,824","2,610","2,700","1,737",929,334,216
2022-01-31,"17,066","1,998","3,250","3,515","2,570","2,662","1,670",889,309,203
2022-02-01,"18,327","2,312","3,471","3,727","2,591","2,919","1,848",945,304,210
2022-02-02,"20,259","2,416","3,672","4,051","2,945","3,313","2,137","1,069",394,262
2022-02-03,"22,832","2,701","3,908","4,682","3,500","3,828","2,387","1,173",392,261
2022-02-04,"27,421","2,886","4,370","5,916","4,155","4,607","2,971","1,557",579,380
2022-02-05,"36,309","3,748","5,429","7,759","5,512","5,785","3,853","2,537","1,035",651
2022-02-06,"38,674","4,007","5,875","7,870","5,674","6,159","4,314","2,814","1,285",676
2022-02-07,"35,255","3,539","5,235","7,234","5,195","5,636","4,102","2,477","1,127",710
2022-02-08,"36,696","3,762","5,477","7,630","5,338","5,881","4,346","2,544","1,049",669
2022-02-09,"49,511","4,944","7,500","10,703","7,268","7,572","5,597","3,427","1,458","1,042"
2022-02-10,"54,103","5,703","8,543","11,854","7,899","8,087","6,012","3,462","1,547",996
2022-02-11,"53,862","5,623","8,372","11,791","8,162","8,104","5,720","3,585","1,392","1,113"
2022-02-12,"54,917","6,026","8,883","11,680","8,017","8,182","5,801","3,751","1,472","1,105"
2022-02-13,"56,363","6,588","9,260","11,425","7,960","8,421","5,868","3,886","1,639","1,316"
2022-02-14,"54,524","6,887","9,185","10,101","7,771","8,521","5,915","3,705","1,454",985
2022-02-15,"57,140","8,047","9,498","9,947","8,502","8,990","6,181","3,706","1,326",943
2022-02-16,"90,411","12,579","14,161","15,551","13,560","14,524","9,755","6,201","2,418","1,662"
2022-02-17,"93,104","13,186","14,793","15,718","14,163","15,193","9,880","6,137","2,334","1,700"
2022-02-18,"109,781","14,124","16,629","19,320","17,403","18,253","11,788","7,613","2,768","1,883"
2022-02-19,"102,174","13,015","15,425","17,785","15,456","16,453","11,305","7,767","2,896","2,072"
2022-02-20,"104,794","14,393","15,555","17,311","15,428","16,611","11,739","8,369","3,234","2,154"
2022-02-21,"95,337","13,542","13,795","14,675","14,038","15,605","11,220","7,791","2,898","1,773"
2022-02-22,"99,531","15,336","14,036","14,947","15,595","16,707","11,093","7,321","2,659","1,837"
2022-02-23,"171,415","24,775","21,976","26,960","27,266","28,648","19,726","13,628","5,107","3,329"
2022-02-24,"169,974","24,422","22,987","26,020","27,115","28,039","18,995","13,586","5,233","3,577"
2022-02-25,"165,834","21,734","22,038","26,526","26,647","27,572","18,505","13,919","5,281","3,612"
2022-02-26,"166,169","20,950","21,318","26,582","25,738","27,093","19,886","14,837","5,912","3,853"
2022-02-27,"163,525","21,281","20,551","25,625","24,897","25,928","19,802","15,261","6,278","3,902"
2022-02-28,"139,604","19,110","17,800","20,799","21,061","23,052","16,778","12,899","4,972","3,133"
2022-03-01,"138,966","19,798","17,718","20,770","22,026","22,728","16,256","12,119","4,535","3,016"
2022-03-02,"219,195","26,784","27,961","34,284","34,419","35,737","27,018","19,896","8,032","5,064"
2022-03-03,"198,783","26,413","26,132","29,790","31,576","32,913","22,751","17,518","6,806","4,884"
2022-03-04,"266,820","32,159","34,412","43,638","42,775","42,522","31,383","23,929","9,817","6,185"
2022-03-05,"254,284","30,722","37,556","40,019","37,679","39,467","29,466","23,516","9,648","6,211"
2022-03-06,"243,589","26,548","32,827","39,231","35,458","37,151","29,924","24,737","10,692","7,021"
2022-03-07,"210,679","24,569","29,362","32,281","29,738","32,460","26,397","21,415","9,045","5,412"
2022-03-08,"202,645","27,945","30,891","30,742","29,358","31,478","23,522","17,566","6,858","4,285"
2022-03-09,"342,396","44,589","51,185","51,883","48,869","51,063","40,872","31,471","13,909","8,555"
2022-03-10,"327,492","42,429","46,123","47,890","48,076","49,312","38,221","31,710","14,302","9,429"
2022-03-11,"282,949","35,611","39,962","43,197","43,560","45,025","32,741","25,544","10,625","6,684"
2022-03-12,"383,611","45,423","54,054","61,535","56,022","57,288","45,635","36,587","16,674","10,393"
2022-03-13,"350,126","43,575","47,939","52,693","49,045","51,379","41,618","36,812","16,930","10,135"
2022-03-14,"309,741","37,373","42,560","44,614","44,399","47,570","38,002","32,500","14,410","8,313"
2022-03-15,"362,222","50,221","51,356","53,118","54,144","56,914","42,300","32,937","13,835","7,397"
2022-03-16,"400,445","52,594","56,634","57,812","57,465","59,564","48,492","40,101","17,958","9,825"
2022-03-17,"621,035","77,042","80,302","89,369","91,726","93,407","75,488","64,200","30,504","18,997"
2022-03-18,"406,778","49,677","52,778","57,510","59,715","61,725","50,281","42,854","20,502","11,736"
2022-03-19,"381,317","48,661","50,580","51,837","53,044","55,905","47,319","42,036","20,116","11,819"
2022-03-20,"334,545","44,265","43,378","41,928","45,601","49,142","42,383","38,299","18,923","10,626"
2022-03-21,"209,087","31,344","27,660","25,808","31,107","32,303","24,544","21,340","9,468","5,513"
2022-03-22,"353,850","55,474","50,871","42,724","53,104","55,502","40,782","32,686","14,968","7,739"
2022-03-23,"490,671","67,373","67,080","60,539","71,683","74,456","58,774","49,714","24,725","16,327"
2022-03-24,"395,487","49,844","51,710","51,674","60,612","63,298","47,192","40,006","19,334","11,817"
2022-03-25,"339,420","40,726","44,107","44,832","50,883","53,578","41,586","35,600","17,481","10,627"
2022-03-26,"335,475","41,737","45,006","42,720","46,870","50,525","41,742","36,910","18,295","11,670"
2022-03-27,"318,013","39,803","40,522","38,130","43,583","48,437","41,221","37,028","18,359","10,930"
2022-03-28,"187,129","27,426","25,055","22,546","27,711","29,503","21,823","19,109","8,907","5,049"
2022-03-29,"347,434","49,335","49,989","43,008","51,908","55,321","41,475","31,989","16,087","8,322"
2022-03-30,"424,532","52,699","56,476","52,463","62,286","65,481","52,361","44,114","23,085","15,567"
2022-03-31,"320,654","37,126","40,510","42,055","48,726","51,854","39,677","33,630","17,014","10,062"
2022-04-01,"280,210","31,551","35,643","37,137","41,230","44,523","35,206","30,403","15,452","9,065"
2022-04-02,"264,132","29,228","32,641","34,367","36,579","40,647","34,623","30,459","15,646","9,942"
2022-04-03,"234,233","27,090","27,978","28,357","32,196","36,460","31,299","28,010","14,367","8,476"
2022-04-04,"127,154","17,966","15,795","15,820","19,377","20,171","14,910","13,085","6,370","3,660"
2022-04-05,"266,066","34,382","35,459","34,003","39,797","42,727","33,392","26,062","13,149","7,095"
2022-04-06,"286,222","31,418","35,987","38,404","41,539","43,592","36,700","30,801","16,431","11,350"
2022-04-07,"224,763","22,954","26,771","31,969","34,219","35,450","29,177","23,968","12,664","7,591"
2022-04-08,"205,286","21,190","24,768","28,122","29,736","32,491","26,839","22,904","12,103","7,133"
2022-04-09,"185,506","19,651","22,076","24,465","25,208","27,637","24,498","22,370","11,996","7,605"
2022-04-10,"164,426","17,466","18,722","20,581","22,340","25,056","22,731","20,299","10,852","6,379"
2022-04-11,"90,895","12,179","10,720","11,816","13,708","14,356","11,128","9,327","4,745","2,916"
2022-04-12,"210,695","23,246","26,399","28,619","31,822","33,513","28,129","21,662","11,373","5,932"
2022-04-13,"195,363","19,581","22,955","27,268","28,693","29,327","25,641","21,540","11,745","8,613"
2022-04-14,"148,412","14,512","16,813","21,294","22,367","22,925","19,636","16,628","8,847","5,390"
2022-04-15,"125,807","12,134","13,891","17,580","18,236","19,368","17,206","14,867","7,885","4,640"
2022-04-16,"107,877","10,488","11,186","14,361","14,761","16,114","15,092","13,636","7,543","4,696"
2022-04-17,"92,957","9,726","9,164","11,189","12,760","13,959","13,039","12,153","6,679","4,288"
2022-04-18,"47,715","6,736","5,291","6,119","7,556","7,533","5,732","4,781","2,401","1,566"
2022-04-19,"118,460","13,039","13,607","15,414","17,504","18,774","16,206","12,933","7,263","3,720"
2022-04-20,"111,278","11,050","11,784","15,355","16,211","16,617","14,973","13,108","7,437","4,743"
2022-04-21,"90,830","8,615","9,294","13,045","13,698","13,928","12,314","10,643","5,874","3,419"
2022-04-22,"81,033","7,664","8,109","11,292","11,831","12,270","11,323","9,922","5,499","3,123"
2022-04-23,"75,401","7,294","7,332","10,103","10,416","10,875","10,551","9,918","5,406","3,506"
2022-04-24,"64,672","6,198","6,018","8,352","9,060","9,697","9,328","8,574","4,709","2,736"
2022-04-25,"34,358","4,405","3,611","4,639","5,542","5,335","4,215","3,585","1,843","1,183"
2022-04-26,"80,324","8,256","8,316","11,039","12,222","12,701","11,121","8,961","5,000","2,708"
2022-04-27,"76,751","7,064","7,161","10,964","11,325","11,360","10,624","9,400","5,268","3,585"
2022-04-28,"57,448","5,181","5,416","8,776","8,728","8,822","7,787","6,816","3,707","2,215"
2022-04-29,"50,552","4,522","4,749","7,674","7,357","7,493","7,158","6,194","3,438","1,967"
2022-04-30,"43,269","3,736","4,121","6,242","5,955","6,147","6,201","5,711","3,238","1,918"
2022-05-01,"37,753","3,525","3,753","5,239","5,150","5,501","5,263","5,023","2,804","1,495"
2022-05-02,"20,067","2,506","2,260","2,834","3,083","3,185","2,449","2,009","1,066",675
2022-05-03,"51,110","4,651","6,080","7,474","7,536","7,755","7,065","5,717","3,159","1,673"
